YEAR,day_of_year,count
2016,04-19,140
2016,04-20,161
2016,04-21,141
2016,04-22,132
2016,04-23,160
2016,04-24,179
2016,04-25,161
2016,04-26,161
2016,04-27,149
2016,04-28,120
2016,04-29,161
2016,04-30,124
2016,05-01,168
2016,05-02,157
2016,05-03,118
2016,05-04,123
2016,05-05,150
2016,05-06,165
2016,05-07,123
2016,05-08,122
2016,05-09,140
2016,05-10,155
2016,05-11,170
2016,05-12,154
2016,05-13,137
2016,05-14,137
2016,05-15,153
2016,05-16,152
2016,05-17,144
2016,05-18,149
2016,05-19,131
2016,05-20,144
2016,05-21,159
2016,05-22,155
2016,05-23,153
2016,05-24,161
2016,05-25,154
2016,05-26,169
2016,05-27,152
2016,05-28,135
2016,05-29,145
2016,05-30,142
2016,05-31,174
2016,06-01,167
2016,06-02,163
2016,06-03,185
2016,06-04,162
2016,06-05,144
2016,06-06,150
2016,06-07,180
2016,06-08,147
2016,06-09,140
2016,06-10,158
2016,06-11,145
2016,06-12,140
2016,06-13,178
2016,06-14,175
2016,06-15,160
2016,06-16,187
2016,06-17,158
2016,06-18,134
2016,06-19,134
2016,06-20,164
2016,06-21,124
2016,06-22,155
2016,06-23,168
2016,06-24,166
2016,06-25,150
2016,06-26,157
2016,06-27,139
2016,06-28,152
2016,06-29,159
2016,06-30,145
2016,07-01,164
2016,07-02,139
2016,07-03,121
2016,07-04,168
2016,07-05,164
2016,07-06,169
2016,07-07,149
2016,07-08,163
2016,07-09,144
2016,07-10,157
2016,07-11,174
2016,07-12,142
2016,07-13,156
2016,07-14,153
2016,07-15,154
2016,07-16,168
2016,07-17,157
2016,07-18,147
2016,07-19,138
2016,07-20,153
2016,07-21,156
2016,07-22,145
2016,07-23,188
2016,07-24,142
2016,07-25,167
2016,07-26,156
2016,07-27,182
2016,07-28,162
2016,07-29,155
2016,07-30,147
2016,07-31,155
2016,08-01,180
2016,08-02,140
2016,08-03,141
2016,08-04,137
2016,08-05,139
2016,08-06,148
2016,08-07,150
2016,08-08,161
2016,08-09,173
2016,08-10,191
2016,08-11,168
2016,08-12,148
2016,08-13,151
2016,08-14,168
2016,08-15,203
2016,08-16,167
2016,08-17,155
2016,08-18,151
2016,08-19,150
2016,08-20,166
2016,08-21,152
2016,08-22,163
2016,08-23,159
2016,08-24,166
2016,08-25,138
2016,08-26,168
2016,08-27,151
2016,08-28,156
2016,08-29,166
2016,08-30,163
2016,08-31,157
2016,09-01,188
2016,09-02,166
2016,09-03,137
2016,09-04,146
2016,09-05,149
2016,09-06,116
2016,09-07,122
2016,09-08,125
2016,09-09,138
2016,09-10,159
2016,09-11,137
2016,09-12,151
2016,09-13,157
2016,09-14,156
2016,09-15,145
2016,09-16,197
2016,09-17,153
2016,09-18,169
2016,09-19,159
2016,09-20,148
2016,09-21,148
2016,09-22,152
2016,09-23,172
2016,09-24,179
2016,09-25,169
2016,09-26,170
2016,09-27,158
2016,09-28,145
2016,09-29,143
2016,09-30,147
2016,10-01,196
2016,10-02,141
2016,10-03,128
2016,10-04,139
2016,10-05,145
2016,10-06,138
2016,10-07,142
2016,10-08,203
2016,10-09,137
2016,10-10,138
2016,10-11,157
2016,10-12,143
2016,10-13,138
2016,10-14,164
2016,10-15,167
2016,10-16,129
2016,10-17,162
2016,10-18,161
2016,10-19,160
2016,10-20,154
2016,10-21,156
2016,10-22,145
2016,10-23,138
2016,10-24,172
2016,10-25,146
2016,10-26,157
2016,10-27,139
2016,10-28,135
2016,10-29,153
2016,10-30,119
2016,10-31,174
2016,11-01,208
2016,11-02,158
2016,11-03,128
2016,11-04,150
2016,11-05,148
2016,11-06,136
2016,11-07,127
2016,11-08,130
2016,11-09,134
2016,11-10,145
2016,11-11,181
2016,11-12,161
2016,11-13,116
2016,11-14,121
2016,11-15,139
2016,11-16,161
2016,11-17,166
2016,11-18,144
2016,11-19,136
2016,11-20,152
2016,11-21,140
2016,11-22,127
2016,11-23,152
2016,11-24,86
2016,11-25,134
2016,11-26,138
2016,11-27,118
2016,11-28,145
2016,11-29,136
2016,11-30,150
2016,12-01,190
2016,12-02,140
2016,12-03,128
2016,12-04,161
2016,12-05,136
2016,12-06,150
2016,12-07,164
2016,12-08,158
2016,12-09,135
2016,12-10,132
2016,12-11,135
2016,12-12,130
2016,12-13,125
2016,12-14,135
2016,12-15,117
2016,12-16,128
2016,12-17,133
2016,12-18,150
2016,12-19,143
2016,12-20,144
2016,12-21,144
2016,12-22,172
2016,12-23,146
2016,12-24,111
2016,12-25,77
2016,12-26,112
2016,12-27,119
2016,12-28,141
2016,12-29,132
2016,12-30,116
2016,12-31,145
2017,01-01,184
2017,01-02,121
2017,01-03,121
2017,01-04,156
2017,01-05,132
2017,01-06,145
2017,01-07,121
2017,01-08,95
