YEAR,day_of_year,count
2019,09-08,145
2019,09-09,171
2019,09-10,144
2019,09-11,161
2019,09-12,139
2019,09-13,162
2019,09-14,155
2019,09-15,127
2019,09-16,148
2019,09-17,152
2019,09-18,160
2019,09-19,142
2019,09-20,160
2019,09-21,139
2019,09-22,177
2019,09-23,127
2019,09-24,159
2019,09-25,181
2019,09-26,126
2019,09-27,170
2019,09-28,146
2019,09-29,144
2019,09-30,140
2019,10-01,139
2019,10-02,119
2019,10-03,118
2019,10-04,139
2019,10-05,116
2019,10-06,111
2019,10-07,143
2019,10-08,108
2019,10-09,112
2019,10-10,127
2019,10-11,124
2019,10-12,113
2019,10-13,109
2019,10-14,129
2019,10-15,118
2019,10-16,112
2019,10-17,126
2019,10-18,123
2019,10-19,127
2019,10-20,115
2019,10-21,115
2019,10-22,117
2019,10-23,124
2019,10-24,126
2019,10-25,119
2019,10-26,140
2019,10-27,84
2019,10-28,100
2019,10-29,93
2019,10-30,120
2019,10-31,137
2019,11-01,171
2019,11-02,102
2019,11-03,90
2019,11-04,116
2019,11-05,108
2019,11-06,113
2019,11-07,120
2019,11-08,108
2019,11-09,101
2019,11-10,109
2019,11-11,121
2019,11-12,109
2019,11-13,98
2019,11-14,139
2019,11-15,132
2019,11-16,118
2019,11-17,85
2019,11-18,101
2019,11-19,112
2019,11-20,98
2019,11-21,129
2019,11-22,105
2019,11-23,112
2019,11-24,88
2019,11-25,121
2019,11-26,127
2019,11-27,123
2019,11-28,59
2019,11-29,101
2019,11-30,105
2019,12-01,101
2019,12-02,84
2019,12-03,75
2019,12-04,97
2019,12-05,99
2019,12-06,113
2019,12-07,108
2019,12-08,106
2019,12-09,124
2019,12-10,119
2019,12-11,110
2019,12-12,107
2019,12-13,110
2019,12-14,118
2019,12-15,113
2019,12-16,119
2019,12-17,97
2019,12-18,101
2019,12-19,108
2019,12-20,127
2019,12-21,104
2019,12-22,100
2019,12-23,120
2019,12-24,118
2019,12-25,65
2019,12-26,78
2019,12-27,106
2019,12-28,110
2019,12-29,85
2019,12-30,99
2019,12-31,99
2020,01-01,114
2020,01-02,109
2020,01-03,115
2020,01-04,87
2020,01-05,89
2020,01-06,106
2020,01-07,93
2020,01-08,104
2020,01-09,84
2020,01-10,130
2020,01-11,114
2020,01-12,120
2020,01-13,114
2020,01-14,98
2020,01-15,108
2020,01-16,117
2020,01-17,114
2020,01-18,104
2020,01-19,86
2020,01-20,94
2020,01-21,110
2020,01-22,92
2020,01-23,110
2020,01-24,89
2020,01-25,89
2020,01-26,107
2020,01-27,117
2020,01-28,95
2020,01-29,106
2020,01-30,103
2020,01-31,123
2020,02-01,103
2020,02-02,112
2020,02-03,121
2020,02-04,126
2020,02-05,99
2020,02-06,117
2020,02-07,108
2020,02-08,111
2020,02-09,81
2020,02-10,105
2020,02-11,107
2020,02-12,104
2020,02-13,94
2020,02-14,118
2020,02-15,108
2020,02-16,80
2020,02-17,90
2020,02-18,95
2020,02-19,102
2020,02-20,113
2020,02-21,114
2020,02-22,88
2020,02-23,96
2020,02-24,127
2020,02-25,118
2020,02-26,90
2020,02-27,97
2020,02-28,107
2020,02-29,132
2020,03-01,117
2020,03-02,118
2020,03-03,102
2020,03-04,103
2020,03-05,102
2020,03-06,140
2020,03-07,116
2020,03-08,89
2020,03-09,101
2020,03-10,121
2020,03-11,95
2020,03-12,99
2020,03-13,98
2020,03-14,116
2020,03-15,92
2020,03-16,50
2020,03-17,82
2020,03-18,81
2020,03-19,56
2020,03-20,89
2020,03-21,101
2020,03-22,83
2020,03-23,77
2020,03-24,90
2020,03-25,89
2020,03-26,61
2020,03-27,105
2020,03-28,67
2020,03-29,53
2020,03-30,94
2020,03-31,80
2020,04-01,110
2020,04-02,80
2020,04-03,80
2020,04-04,73
2020,04-05,85
2020,04-06,76
2020,04-07,88
2020,04-08,88
2020,04-09,65
2020,04-10,83
2020,04-11,86
2020,04-12,77
2020,04-13,94
2020,04-14,92
2020,04-15,84
2020,04-16,59
2020,04-17,83
2020,04-18,69
2020,04-19,98
2020,04-20,99
2020,04-21,97
2020,04-22,77
2020,04-23,69
2020,04-24,82
2020,04-25,84
2020,04-26,69
2020,04-27,97
2020,04-28,103
2020,04-29,103
2020,04-30,98
2020,05-01,122
2020,05-02,87
2020,05-03,92
2020,05-04,100
2020,05-05,85
2020,05-06,84
2020,05-07,64
2020,05-08,96
2020,05-09,82
2020,05-10,75
2020,05-11,94
2020,05-12,75
2020,05-13,80
2020,05-14,94
2020,05-15,126
2020,05-16,90
2020,05-17,83
2020,05-18,94
2020,05-19,86
2020,05-20,107
2020,05-21,98
2020,05-22,125
2020,05-23,97
2020,05-24,85
2020,05-25,77
2020,05-26,65
2020,05-27,98
2020,05-28,108
2020,05-29,109
2020,05-30,106
2020,05-31,156
2020,06-01,207
2020,06-02,106
2020,06-03,110
2020,06-04,119
2020,06-05,102
2020,06-06,71
2020,06-07,83
2020,06-08,104
2020,06-09,95
2020,06-10,116
2020,06-11,140
2020,06-12,120
2020,06-13,108
2020,06-14,91
2020,06-15,118
2020,06-16,108
2020,06-17,104
2020,06-18,114
2020,06-19,110
2020,06-20,119
2020,06-21,81
2020,06-22,127
2020,06-23,114
2020,06-24,131
2020,06-25,103
2020,06-26,115
2020,06-27,96
2020,06-28,101
2020,06-29,76
2020,06-30,100
2020,07-01,128
2020,07-02,102
2020,07-03,120
2020,07-04,99
2020,07-05,107
2020,07-06,117
2020,07-07,111
2020,07-08,109
2020,07-09,106
2020,07-10,93
2020,07-11,102
2020,07-12,101
2020,07-13,100
2020,07-14,84
2020,07-15,123
2020,07-16,110
2020,07-17,124
2020,07-18,110
2020,07-19,103
2020,07-20,102
2020,07-21,126
2020,07-22,116
2020,07-23,120
2020,07-24,100
2020,07-25,107
2020,07-26,90
2020,07-27,130
2020,07-28,93
2020,07-29,120
2020,07-30,112
2020,07-31,130
2020,08-01,118
2020,08-02,134
2020,08-03,152
2020,08-04,116
2020,08-05,105
2020,08-06,126
2020,08-07,123
2020,08-08,104
2020,08-09,98
2020,08-10,134
2020,08-11,104
2020,08-12,97
2020,08-13,85
2020,08-14,112
2020,08-15,107
2020,08-16,84
2020,08-17,104
2020,08-18,121
2020,08-19,138
2020,08-20,114
2020,08-21,105
2020,08-22,96
2020,08-23,102
2020,08-24,111
2020,08-25,107
2020,08-26,126
2020,08-27,114
2020,08-28,113
2020,08-29,118
2020,08-30,102
2020,08-31,136
2020,09-01,154
2020,09-02,108
2020,09-03,117
2020,09-04,126
2020,09-05,117
2020,09-06,105
2020,09-07,96
2020,09-08,124
2020,09-09,114
2020,09-10,131
2020,09-11,124
2020,09-12,106
2020,09-13,128
2020,09-14,112
2020,09-15,113
2020,09-16,113
2020,09-17,160
2020,09-18,107
2020,09-19,123
2020,09-20,93
2020,09-21,101
2020,09-22,95
2020,09-23,120
2020,09-24,101
2020,09-25,127
2020,09-26,127
2020,09-27,105
2020,09-28,137
2020,09-29,111
2020,09-30,134
2020,10-01,134
2020,10-02,115
2020,10-03,134
2020,10-04,97
2020,10-05,118
2020,10-06,119
2020,10-07,148
2020,10-08,125
2020,10-09,143
2020,10-10,143
2020,10-11,90
2020,10-12,108
2020,10-13,89
2020,10-14,134
2020,10-15,114
2020,10-16,130
2020,10-17,116
2020,10-18,99
2020,10-19,126
2020,10-20,139
2020,10-21,133
2020,10-22,145
2020,10-23,147
2020,10-24,132
2020,10-25,96
2020,10-26,141
2020,10-27,124
2020,10-28,119
2020,10-29,104
2020,10-30,110
2020,10-31,111
2020,11-01,125
2020,11-02,109
2020,11-03,95
2020,11-04,117
2020,11-05,114
2020,11-06,134
2020,11-07,119
2020,11-08,89
2020,11-09,127
2020,11-10,113
2020,11-11,97
2020,11-12,121
2020,11-13,131
2020,11-14,91
2020,11-15,104
2020,11-16,120
2020,11-17,131
2020,11-18,121
2020,11-19,126
2020,11-20,141
2020,11-21,106
2020,11-22,82
2020,11-23,100
2020,11-24,109
2020,11-25,120
2020,11-26,72
2020,11-27,113
2020,11-28,85
2020,11-29,77
2020,11-30,111
2020,12-01,140
2020,12-02,109
2020,12-03,128
2020,12-04,117
2020,12-05,77
2020,12-06,72
2020,12-07,105
2020,12-08,90
2020,12-09,86
2020,12-10,94
2020,12-11,95
2020,12-12,86
2020,12-13,86
2020,12-14,82
2020,12-15,99
2020,12-16,91
2020,12-17,81
2020,12-18,98
2020,12-19,92
2020,12-20,82
2020,12-21,86
2020,12-22,89
2020,12-23,82
2020,12-24,98
2020,12-25,63
2020,12-26,84
2020,12-27,74
2020,12-28,107
2020,12-29,91
2020,12-30,102
2020,12-31,113
2021,01-01,106
2021,01-02,88
2021,01-03,61
2021,01-04,82
2021,01-05,78
2021,01-06,71
2021,01-07,94
2021,01-08,88
2021,01-09,88
2021,01-10,81
2021,01-11,87
2021,01-12,80
2021,01-13,77
2021,01-14,85
2021,01-15,103
2021,01-16,75
2021,01-17,73
2021,01-18,84
2021,01-19,77
2021,01-20,70
2021,01-21,82
2021,01-22,76
2021,01-23,93
2021,01-24,72
2021,01-25,80
2021,01-26,76
2021,01-27,82
2021,01-28,76
2021,01-29,78
2021,01-30,71
2021,01-31,65
2021,02-01,99
2021,02-02,66
2021,02-03,70
2021,02-04,96
2021,02-05,105
2021,02-06,89
2021,02-07,76
2021,02-08,77
2021,02-09,82
2021,02-10,78
2021,02-11,73
2021,02-12,96
2021,02-13,121
2021,02-14,67
2021,02-15,86
2021,02-16,85
2021,02-17,96
2021,02-18,83
2021,02-19,64
2021,02-20,83
2021,02-21,83
2021,02-22,79
2021,02-23,72
2021,02-24,96
2021,02-25,88
2021,02-26,91
2021,02-27,78
2021,02-28,89
2021,03-01,110
2021,03-02,83
2021,03-03,78
2021,03-04,79
2021,03-05,108
2021,03-06,69
2021,03-07,82
2021,03-08,92
2021,03-09,71
2021,03-10,93
2021,03-11,102
2021,03-12,88
2021,03-13,90
2021,03-14,80
2021,03-15,79
2021,03-16,79
2021,03-17,86
2021,03-18,83
2021,03-19,92
2021,03-20,108
2021,03-21,82
2021,03-22,102
2021,03-23,98
2021,03-24,88
2021,03-25,100
2021,03-26,106
2021,03-27,88
2021,03-28,81
2021,03-29,94
2021,03-30,83
2021,03-31,94
2021,04-01,97
2021,04-02,91
2021,04-03,84
2021,04-04,65
2021,04-05,100
2021,04-06,119
2021,04-07,97
2021,04-08,96
2021,04-09,96
2021,04-10,113
2021,04-11,88
2021,04-12,82
2021,04-13,85
2021,04-14,98
2021,04-15,88
2021,04-16,75
2021,04-17,68
2021,04-18,89
2021,04-19,91
2021,04-20,95
2021,04-21,85
2021,04-22,101
2021,04-23,88
2021,04-24,114
2021,04-25,98
2021,04-26,86
2021,04-27,101
2021,04-28,85
2021,04-29,74
2021,04-30,93
2021,05-01,110
2021,05-02,69
2021,05-03,86
2021,05-04,79
2021,05-05,92
2021,05-06,94
2021,05-07,88
2021,05-08,85
2021,05-09,114
2021,05-10,86
2021,05-11,98
2021,05-12,115
2021,05-13,82
2021,05-14,100
2021,05-15,118
2021,05-16,98
2021,05-17,117
2021,05-18,119
2021,05-19,109
2021,05-20,95
2021,05-21,117
2021,05-22,113
2021,05-23,85
2021,05-24,106
2021,05-25,97
2021,05-26,122
2021,05-27,109
2021,05-28,104
2021,05-29,85
2021,05-30,89
2021,05-31,86
2021,06-01,122
2021,06-02,108
2021,06-03,92
2021,06-04,106
2021,06-05,106
2021,06-06,101
2021,06-07,113
2021,06-08,95
2021,06-09,96
2021,06-10,111
2021,06-11,124
2021,06-12,102
2021,06-13,114
2021,06-14,122
2021,06-15,119
2021,06-16,103
2021,06-17,118
2021,06-18,118
2021,06-19,101
2021,06-20,90
2021,06-21,112
2021,06-22,105
2021,06-23,112
2021,06-24,116
2021,06-25,101
2021,06-26,104
2021,06-27,95
2021,06-28,120
2021,06-29,108
2021,06-30,101
2021,07-01,116
2021,07-02,92
2021,07-03,86
2021,07-04,101
2021,07-05,123
2021,07-06,89
2021,07-07,103
2021,07-08,96
2021,07-09,92
2021,07-10,112
2021,07-11,90
2021,07-12,88
2021,07-13,102
2021,07-14,98
2021,07-15,78
2021,07-16,98
2021,07-17,109
2021,07-18,89
2021,07-19,102
2021,07-20,93
2021,07-21,137
2021,07-22,119
2021,07-23,116
2021,07-24,126
2021,07-25,112
2021,07-26,109
2021,07-27,114
2021,07-28,94
2021,07-29,92
2021,07-30,105
2021,07-31,110
2021,08-01,96
2021,08-02,122
2021,08-03,108
2021,08-04,92
2021,08-05,85
2021,08-06,129
2021,08-07,126
2021,08-08,119
2021,08-09,87
2021,08-10,118
2021,08-11,101
2021,08-12,103
2021,08-13,112
2021,08-14,99
2021,08-15,117
2021,08-16,104
2021,08-17,91
2021,08-18,118
2021,08-19,109
2021,08-20,100
2021,08-21,107
2021,08-22,123
2021,08-23,94
2021,08-24,102
2021,08-25,124
2021,08-26,94
2021,08-27,118
2021,08-28,107
2021,08-29,107
2021,08-30,116
2021,08-31,108
2021,09-01,107
2021,09-02,80
2021,09-03,102
2021,09-04,109
2021,09-05,85
2021,09-06,106
2021,09-07,89
2021,09-08,119
2021,09-09,96
2021,09-10,98
2021,09-11,123
2021,09-12,111
2021,09-13,109
2021,09-14,85
2021,09-15,122
2021,09-16,93
2021,09-17,115
2021,09-18,115
2021,09-19,96
2021,09-20,106
2021,09-21,114
2021,09-22,93
2021,09-23,93
2021,09-24,113
2021,09-25,92
2021,09-26,109
2021,09-27,99
2021,09-28,99
2021,09-29,90
2021,09-30,99
2021,10-01,117
2021,10-02,134
2021,10-03,93
2021,10-04,67
2021,10-05,101
2021,10-06,98
2021,10-07,107
2021,10-08,102
2021,10-09,109
2021,10-10,101
2021,10-11,113
2021,10-12,127
2021,10-13,108
2021,10-14,110
2021,10-15,119
2021,10-16,128
2021,10-17,99
2021,10-18,104
2021,10-19,95
2021,10-20,96
2021,10-21,95
2021,10-22,131
2021,10-23,125
2021,10-24,94
2021,10-25,99
2021,10-26,94
2021,10-27,126
2021,10-28,93
2021,10-29,100
2021,10-30,100
2021,10-31,117
2021,11-01,127
2021,11-02,118
2021,11-03,107
2021,11-04,98
2021,11-05,110
2021,11-06,108
2021,11-07,99
2021,11-08,80
2021,11-09,85
2021,11-10,91
2021,11-11,91
2021,11-12,96
2021,11-13,108
2021,11-14,79
2021,11-15,104
2021,11-16,66
2021,11-17,71
2021,11-18,86
2021,11-19,107
2021,11-20,94
2021,11-21,89
2021,11-22,85
2021,11-23,90
2021,11-24,87
2021,11-25,62
2021,11-26,68
2021,11-27,96
2021,11-28,83
2021,11-29,99
2021,11-30,76
2021,12-01,109
2021,12-02,98
2021,12-03,102
2021,12-04,93
2021,12-05,71
2021,12-06,117
2021,12-07,106
2021,12-08,108
2021,12-09,75
2021,12-10,84
2021,12-11,100
2021,12-12,80
2021,12-13,90
2021,12-14,41
2021,12-15,99
2021,12-16,113
2021,12-17,91
2021,12-18,95
2021,12-19,97
2021,12-20,75
2021,12-21,75
2021,12-22,65
2021,12-23,90
2021,12-24,81
2021,12-25,43
2021,12-26,60
2021,12-27,84
2021,12-28,74
2021,12-29,71
2021,12-30,68
2021,12-31,82
2022,01-01,116
2022,01-02,76
2022,01-03,79
2022,01-04,65
2022,01-05,86
2022,01-06,72
2022,01-07,80
2022,01-08,64
2022,01-09,76
2022,01-10,75
2022,01-11,88
2022,01-12,98
2022,01-13,82
2022,01-14,107
2022,01-15,87
2022,01-16,83
2022,01-17,87
2022,01-18,79
2022,01-19,107
2022,01-20,96
2022,01-21,110
2022,01-22,123
2022,01-23,75
2022,01-24,92
2022,01-25,92
2022,01-26,86
2022,01-27,92
2022,01-28,92
2022,01-29,40
2022,01-30,51
2022,01-31,108
2022,02-01,109
2022,02-02,100
2022,02-03,87
2022,02-04,89
2022,02-05,90
2022,02-06,63
2022,02-07,112
2022,02-08,77
2022,02-09,93
2022,02-10,104
2022,02-11,119
2022,02-12,95
2022,02-13,78
2022,02-14,110
2022,02-15,95
2022,02-16,76
2022,02-17,107
2022,02-18,119
2022,02-19,98
2022,02-20,79
2022,02-21,98
2022,02-22,85
2022,02-23,89
2022,02-24,104
2022,02-25,73
2022,02-26,100
2022,02-27,106
2022,02-28,98
2022,03-01,118
2022,03-02,100
2022,03-03,86
2022,03-04,96
2022,03-05,79
2022,03-06,94
2022,03-07,94
2022,03-08,100
2022,03-09,64
2022,03-10,108
2022,03-11,102
2022,03-12,92
2022,03-13,77
2022,03-14,94
2022,03-15,93
2022,03-16,94
2022,03-17,99
2022,03-18,106
2022,03-19,95
2022,03-20,105
2022,03-21,99
2022,03-22,96
2022,03-23,95
2022,03-24,90
2022,03-25,95
2022,03-26,106
2022,03-27,96
2022,03-28,97
2022,03-29,85
2022,03-30,92
2022,03-31,112
2022,04-01,88
2022,04-02,100
2022,04-03,84
2022,04-04,95
2022,04-05,102
2022,04-06,93
2022,04-07,98
2022,04-08,118
2022,04-09,78
2022,04-10,75
2022,04-11,111
2022,04-12,117
2022,04-13,107
2022,04-14,94
2022,04-15,113
2022,04-16,92
2022,04-17,74
2022,04-18,97
2022,04-19,112
2022,04-20,96
2022,04-21,93
2022,04-22,108
2022,04-23,108
2022,04-24,102
2022,04-25,129
2022,04-26,92
2022,04-27,112
2022,04-28,122
2022,04-29,95
2022,04-30,101
2022,05-01,112
2022,05-02,102
2022,05-03,108
2022,05-04,81
2022,05-05,104
2022,05-06,115
2022,05-07,83
2022,05-08,82
2022,05-09,78
2022,05-10,90
2022,05-11,80
2022,05-12,68
2022,05-13,115
2022,05-14,112
2022,05-15,82
2022,05-16,107
2022,05-17,91
2022,05-18,125
2022,05-19,108
2022,05-20,110
2022,05-21,98
2022,05-22,117
2022,05-23,95
2022,05-24,109
2022,05-25,128
2022,05-26,111
2022,05-27,129
2022,05-28,104
2022,05-29,90
2022,05-30,107
2022,05-31,103
2022,06-01,101
2022,06-02,86
2022,06-03,105
2022,06-04,126
2022,06-05,102
2022,06-06,113
2022,06-07,112
2022,06-08,101
2022,06-09,95
2022,06-10,125
2022,06-11,115
2022,06-12,109
2022,06-13,99
2022,06-14,111
2022,06-15,119
2022,06-16,122
2022,06-17,114
2022,06-18,104
2022,06-19,79
2022,06-20,114
2022,06-21,108
2022,06-22,93
2022,06-23,108
2022,06-24,97
2022,06-25,100
2022,06-26,89
2022,06-27,96
2022,06-28,113
2022,06-29,106
2022,06-30,105
2022,07-01,121
2022,07-02,121
2022,07-03,92
2022,07-04,97
2022,07-05,106
2022,07-06,122
2022,07-07,112
2022,07-08,113
2022,07-09,115
2022,07-10,108
2022,07-11,101
2022,07-12,118
2022,07-13,96
2022,07-14,83
2022,07-15,118
2022,07-16,122
2022,07-17,101
2022,07-18,108
2022,07-19,101
2022,07-20,98
2022,07-21,93
2022,07-22,103
2022,07-23,109
2022,07-24,97
2022,07-25,119
2022,07-26,119
2022,07-27,127
2022,07-28,105
2022,07-29,105
2022,07-30,125
2022,07-31,94
2022,08-01,121
2022,08-02,89
2022,08-03,117
2022,08-04,90
2022,08-05,110
2022,08-06,109
2022,08-07,91
2022,08-08,93
2022,08-09,104
2022,08-10,117
2022,08-11,102
2022,08-12,111
2022,08-13,114
2022,08-14,110
2022,08-15,119
2022,08-16,93
2022,08-17,123
2022,08-18,105
2022,08-19,130
2022,08-20,82
2022,08-21,103
2022,08-22,98
2022,08-23,110
2022,08-24,74
2022,08-25,83
2022,08-26,102
2022,08-27,108
2022,08-28,92
2022,08-29,103
2022,08-30,90
2022,08-31,126
2022,09-01,126
2022,09-02,97
2022,09-03,103
2022,09-04,88
2022,09-05,63
2022,09-06,62
2022,09-07,105
2022,09-08,93
2022,09-09,108
2022,09-10,104
2022,09-11,110
2022,09-12,113
2022,09-13,108
2022,09-14,113
2022,09-15,122
2022,09-16,115
2022,09-17,102
2022,09-18,91
2022,09-19,88
2022,09-20,88
2022,09-21,117
2022,09-22,113
2022,09-23,89
2022,09-24,113
2022,09-25,73
2022,09-26,97
2022,09-27,113
2022,09-28,122
2022,09-29,99
2022,09-30,108
2022,10-01,113
2022,10-02,91
2022,10-03,97
2022,10-04,82
2022,10-05,92
2022,10-06,108
2022,10-07,126
2022,10-08,115
2022,10-09,96
2022,10-10,110
2022,10-11,80
2022,10-12,101
2022,10-13,76
2022,10-14,114
2022,10-15,91
2022,10-16,105
2022,10-17,103
2022,10-18,88
2022,10-19,98
2022,10-20,103
2022,10-21,99
2022,10-22,103
2022,10-23,76
2022,10-24,73
2022,10-25,64
2022,10-26,82
2022,10-27,96
2022,10-28,84
2022,10-29,99
2022,10-30,98
2022,10-31,136
2022,11-01,108
2022,11-02,106
2022,11-03,102
2022,11-04,95
2022,11-05,96
2022,11-06,82
2022,11-07,105
2022,11-08,99
2022,11-09,84
2022,11-10,79
2022,11-11,89
2022,11-12,107
2022,11-13,89
2022,11-14,81
2022,11-15,109
2022,11-16,48
2022,11-17,102
2022,11-18,82
2022,11-19,85
2022,11-20,63
2022,11-21,98
2022,11-22,86
2022,11-23,75
2022,11-24,45
2022,11-25,85
2022,11-26,96
2022,11-27,73
2022,11-28,83
2022,11-29,78
2022,11-30,100
2022,12-01,115
2022,12-02,101
2022,12-03,76
2022,12-04,79
2022,12-05,93
2022,12-06,93
2022,12-07,99
2022,12-08,86
2022,12-09,118
2022,12-10,104
2022,12-11,89
2022,12-12,87
2022,12-13,95
2022,12-14,79
2022,12-15,88
2022,12-16,79
2022,12-17,91
2022,12-18,80
2022,12-19,102
2022,12-20,98
2022,12-21,111
2022,12-22,86
2022,12-23,76
2022,12-24,72
2022,12-25,53
2022,12-26,55
2022,12-27,80
2022,12-28,75
2022,12-29,74
2022,12-30,90
2022,12-31,84
2023,01-01,122
2023,01-02,86
2023,01-03,76
2023,01-04,93
2023,01-05,105
2023,01-06,82
2023,01-07,93
2023,01-08,85
2023,01-09,109
2023,01-10,87
2023,01-11,111
2023,01-12,96
2023,01-13,81
2023,01-14,95
2023,01-15,75
2023,01-16,90
2023,01-17,112
2023,01-18,104
2023,01-19,95
2023,01-20,117
2023,01-21,86
2023,01-22,69
2023,01-23,108
2023,01-24,99
2023,01-25,84
2023,01-26,88
2023,01-27,110
2023,01-28,110
2023,01-29,94
2023,01-30,123
2023,01-31,89
2023,02-01,119
2023,02-02,93
2023,02-03,101
2023,02-04,94
2023,02-05,112
2023,02-06,101
2023,02-07,94
2023,02-08,102
2023,02-09,114
2023,02-10,131
2023,02-11,104
2023,02-12,86
2023,02-13,93
2023,02-14,94
2023,02-15,112
2023,02-16,117
2023,02-17,109
2023,02-18,92
2023,02-19,101
2023,02-20,98
2023,02-21,82
2023,02-22,98
2023,02-23,82
2023,02-24,83
2023,02-25,52
2023,02-26,70
2023,02-27,92
2023,02-28,96
2023,03-01,125
2023,03-02,85
2023,03-03,95
2023,03-04,87
2023,03-05,89
2023,03-06,114
2023,03-07,82
2023,03-08,84
2023,03-09,100
2023,03-10,89
2023,03-11,87
2023,03-12,87
2023,03-13,106
2023,03-14,102
2023,03-15,94
2023,03-16,108
2023,03-17,136
2023,03-18,122
2023,03-19,112
2023,03-20,116
2023,03-21,106
2023,03-22,102
2023,03-23,108
2023,03-24,111
2023,03-25,85
2023,03-26,88
2023,03-27,113
2023,03-28,107
2023,03-29,97
2023,03-30,100
2023,03-31,94
2023,04-01,108
2023,04-02,94
2023,04-03,103
2023,04-04,88
2023,04-05,96
2023,04-06,107
2023,04-07,102
2023,04-08,89
2023,04-09,72
2023,04-10,106
2023,04-11,123
2023,04-12,120
2023,04-13,108
2023,04-14,136
2023,04-15,111
2023,04-16,95
2023,04-17,101
2023,04-18,116
2023,04-19,96
2023,04-20,94
2023,04-21,97
2023,04-22,103
2023,04-23,77
2023,04-24,115
2023,04-25,100
2023,04-26,93
2023,04-27,93
2023,04-28,104
2023,04-29,78
2023,04-30,78
2023,05-01,135
2023,05-02,114
2023,05-03,111
2023,05-04,98
2023,05-05,101
2023,05-06,95
2023,05-07,113
2023,05-08,109
2023,05-09,101
2023,05-10,129
2023,05-11,119
2023,05-12,97
2023,05-13,95
2023,05-14,105
2023,05-15,120
2023,05-16,99
2023,05-17,136
2023,05-18,111
2023,05-19,123
2023,05-20,104
2023,05-21,93
2023,05-22,117
2023,05-23,122
2023,05-24,101
2023,05-25,104
2023,05-26,98
2023,05-27,103
2023,05-28,100
2023,05-29,112
2023,05-30,105
2023,05-31,94
2023,06-01,146
2023,06-02,98
2023,06-03,105
2023,06-04,96
2023,06-05,102
2023,06-06,118
2023,06-07,102
2023,06-08,127
2023,06-09,109
2023,06-10,106
2023,06-11,93
2023,06-12,100
2023,06-13,110
2023,06-14,103
2023,06-15,113
2023,06-16,111
2023,06-17,76
2023,06-18,93
2023,06-19,101
2023,06-20,109
2023,06-21,113
2023,06-22,84
2023,06-23,105
2023,06-24,111
2023,06-25,100
2023,06-26,110
2023,06-27,103
2023,06-28,92
2023,06-29,119
2023,06-30,111
2023,07-01,123
2023,07-02,97
2023,07-03,105
2023,07-04,100
2023,07-05,103
2023,07-06,120
2023,07-07,108
2023,07-08,109
2023,07-09,91
2023,07-10,101
2023,07-11,120
2023,07-12,129
2023,07-13,106
2023,07-14,115
2023,07-15,100
2023,07-16,80
2023,07-17,112
2023,07-18,116
2023,07-19,129
2023,07-20,111
2023,07-21,123
2023,07-22,115
2023,07-23,102
2023,07-24,104
2023,07-25,112
2023,07-26,99
2023,07-27,103
2023,07-28,105
2023,07-29,94
2023,07-30,106
2023,07-31,124
2023,08-01,108
2023,08-02,102
2023,08-03,118
2023,08-04,120
2023,08-05,117
2023,08-06,93
2023,08-07,120
2023,08-08,104
2023,08-09,121
2023,08-10,102
2023,08-11,101
2023,08-12,129
2023,08-13,136
2023,08-14,98
2023,08-15,101
2023,08-16,132
2023,08-17,113
2023,08-18,117
2023,08-19,103
2023,08-20,87
2023,08-21,100
2023,08-22,120
2023,08-23,105
2023,08-24,95
2023,08-25,99
2023,08-26,135
2023,08-27,90
2023,08-28,104
2023,08-29,125
2023,08-30,120
2023,08-31,134
2023,09-01,113
2023,09-02,123
2023,09-03,114
2023,09-04,113
2023,09-05,123
2023,09-06,87
2023,09-07,109
2023,09-08,126
2023,09-09,92
2023,09-10,94
2023,09-11,102
2023,09-12,109
2023,09-13,104
2023,09-14,117
2023,09-15,134
2023,09-16,79
2023,09-17,101
2023,09-18,84
2023,09-19,111
2023,09-20,100
2023,09-21,119
2023,09-22,121
2023,09-23,85
2023,09-24,93
2023,09-25,142
2023,09-26,117
2023,09-27,106
2023,09-28,99
2023,09-29,96
2023,09-30,109
2023,10-01,104
2023,10-02,93
2023,10-03,128
2023,10-04,115
2023,10-05,115
2023,10-06,119
2023,10-07,100
2023,10-08,94
2023,10-09,83
2023,10-10,116
2023,10-11,99
2023,10-12,93
2023,10-13,111
2023,10-14,90
2023,10-15,110
2023,10-16,90
2023,10-17,106
2023,10-18,114
2023,10-19,118
2023,10-20,108
2023,10-21,92
2023,10-22,95
2023,10-23,100
2023,10-24,98
2023,10-25,102
2023,10-26,120
2023,10-27,130
2023,10-28,131
2023,10-29,87
2023,10-30,107
2023,10-31,134
2023,11-01,107
2023,11-02,125
2023,11-03,119
2023,11-04,113
2023,11-05,86
2023,11-06,91
2023,11-07,103
2023,11-08,100
2023,11-09,112
2023,11-10,106
2023,11-11,113
2023,11-12,95
2023,11-13,101
2023,11-14,97
2023,11-15,118
2023,11-16,94
2023,11-17,96
2023,11-18,109
2023,11-19,85
2023,11-20,137
2023,11-21,107
2023,11-22,84
2023,11-23,60
2023,11-24,110
2023,11-25,112
2023,11-26,117
2023,11-27,118
2023,11-28,116
2023,11-29,101
2023,11-30,108
2023,12-01,146
2023,12-02,125
2023,12-03,92
2023,12-04,105
2023,12-05,112
2023,12-06,98
2023,12-07,116
2023,12-08,109
2023,12-09,91
